timestamp,trace_id,symbol,strategy,side,confidence,entry,sl,tp1,tp2,atr,regime_score,num_agree,total_strategies
2026-05-01T05:23:10.298053+00:00,215c1b80,BTC,ensemble,BUY,62.15482986111113,77059.0,76537.38571428572,77841.42142857143,78073.25,289.7857142857143,0,1,2
2026-05-01T05:23:24.140771+00:00,215c1b80,ETH,ensemble,BUY,74.38975694444447,2282.5,2262.342857142857,2312.7357142857145,2332.892857142857,10.07857142857139,0,1,2
2026-05-01T05:23:36.673870+00:00,215c1b80,SOL,ensemble,BUY,58.63663194444447,83.989,83.32235714285714,84.9889642857143,85.28525000000002,0.37035714285714505,0,1,2
2026-05-01T05:26:02.142855+00:00,1a17e76d,BTC,ensemble,BUY,62.15482986111113,77063.0,76541.38571428572,77845.42142857143,78077.25,289.7857142857143,0,1,2
2026-05-01T05:26:02.199632+00:00,1a17e76d,ETH,ensemble,BUY,74.38975694444447,2281.9,2261.7428571428572,2312.135714285714,2332.292857142857,10.07857142857139,0,1,2
2026-05-01T05:26:02.256347+00:00,1a17e76d,SOL,ensemble,BUY,58.63663194444447,83.982,83.31535714285714,84.9819642857143,85.27825000000001,0.37035714285714505,0,1,2
2026-05-01T05:28:45.353358+00:00,49e3402b,BTC,ensemble,BUY,62.15482986111113,77063.0,76541.38571428572,77845.42142857143,78077.25,289.7857142857143,0,1,2
2026-05-01T05:28:45.408745+00:00,49e3402b,ETH,ensemble,BUY,74.38975694444447,2281.9,2261.7428571428572,2312.135714285714,2332.292857142857,10.07857142857139,0,1,2
2026-05-01T05:28:45.464098+00:00,49e3402b,SOL,ensemble,BUY,58.63663194444447,83.982,83.31535714285714,84.9819642857143,85.27825000000001,0.37035714285714505,0,1,2
2026-05-01T05:30:59.096527+00:00,c94d0a24,BTC,ensemble,BUY,62.15482986111113,77050.0,76528.38571428572,77832.42142857143,78064.25,289.7857142857143,0,1,2
2026-05-01T05:31:10.288698+00:00,c94d0a24,ETH,ensemble,BUY,74.38975694444447,2281.3,2261.1428571428573,2311.5357142857147,2331.692857142857,10.07857142857139,0,1,2
2026-05-01T05:31:23.244753+00:00,c94d0a24,SOL,ensemble,BUY,58.63663194444447,83.936,83.26935714285715,84.9359642857143,85.23225000000002,0.37035714285714505,0,1,2
2026-05-01T05:33:36.454553+00:00,bb327032,BTC,ensemble,BUY,62.15482986111113,77051.0,76529.38571428572,77833.42142857143,78065.25,289.7857142857143,0,1,2
2026-05-01T05:33:36.551280+00:00,bb327032,ETH,ensemble,BUY,74.38975694444447,2281.3,2261.1428571428573,2311.5357142857147,2331.692857142857,10.07857142857139,0,1,2
2026-05-01T05:33:36.616854+00:00,bb327032,SOL,ensemble,BUY,58.63663194444447,83.962,83.29535714285714,84.96196428571429,85.25825,0.37035714285714505,0,1,2
2026-05-01T05:36:09.342443+00:00,55e31d31,BTC,ensemble,BUY,62.15482986111113,77051.0,76529.38571428572,77833.42142857143,78065.25,289.7857142857143,0,1,2
2026-05-01T05:36:09.403326+00:00,55e31d31,ETH,ensemble,BUY,74.38975694444447,2281.3,2261.1428571428573,2311.5357142857147,2331.692857142857,10.07857142857139,0,1,2
2026-05-01T05:36:09.461584+00:00,55e31d31,SOL,ensemble,BUY,58.63663194444447,83.962,83.29535714285714,84.96196428571429,85.25825,0.37035714285714505,0,1,2
2026-05-01T05:38:32.490249+00:00,7a140e98,BTC,ensemble,BUY,62.15482986111113,77040.0,76518.38571428572,77822.42142857143,78054.25,289.7857142857143,0,1,2
2026-05-01T05:38:43.652390+00:00,7a140e98,ETH,ensemble,BUY,74.38975694444447,2281.5,2261.342857142857,2311.7357142857145,2331.892857142857,10.07857142857139,0,1,2
2026-05-01T05:38:48.262202+00:00,7a140e98,SOL,ensemble,BUY,58.63663194444447,83.91,83.24335714285714,84.9099642857143,85.20625000000001,0.37035714285714505,0,1,2
2026-05-01T05:41:01.223873+00:00,5565d9b4,BTC,ensemble,BUY,62.15482986111113,77058.0,76536.38571428572,77840.42142857143,78072.25,289.7857142857143,0,1,2
2026-05-01T05:41:01.292725+00:00,5565d9b4,ETH,ensemble,BUY,74.38975694444447,2282.4,2262.2428571428572,2312.635714285714,2332.792857142857,10.07857142857139,0,1,2
2026-05-01T05:41:01.351553+00:00,5565d9b4,SOL,ensemble,BUY,58.63663194444447,84.067,83.40035714285713,85.06696428571428,85.36325,0.37035714285714505,0,1,2
2026-05-01T05:43:35.166084+00:00,627ff625,BTC,ensemble,BUY,62.15482986111113,77058.0,76536.38571428572,77840.42142857143,78072.25,289.7857142857143,0,1,2
2026-05-01T05:43:35.221513+00:00,627ff625,ETH,ensemble,BUY,74.38975694444447,2282.4,2262.2428571428572,2312.635714285714,2332.792857142857,10.07857142857139,0,1,2
2026-05-01T05:43:35.275563+00:00,627ff625,SOL,ensemble,BUY,58.63663194444447,84.067,83.40035714285713,85.06696428571428,85.36325,0.37035714285714505,0,1,2
2026-05-01T05:46:09.245859+00:00,e49959f7,BTC,ensemble,BUY,62.15482986111113,77080.0,76558.38571428572,77862.42142857143,78094.25,289.7857142857143,0,1,2
