symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
HYPE,LONG,ensemble,SL,31.41,30.83,31.07,31.83,32.25,-340.98,4.55,2.0,71.7,3.36,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,32.57,33.24,32.12,33.12,33.66,196.39,3.97,1.23,66.2,1.82,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,32.57,32.53,32.12,33.12,33.66,-4.17,1.29,1.23,66.2,0.12,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,32.99,32.44,32.48,33.6,34.21,-196.31,4.7,1.23,66.2,1.34,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,32.52,32.98,32.16,32.97,33.41,162.24,2.94,2.0,72.7,2.49,0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,32.52,32.25,32.16,32.97,33.41,-32.9,0.96,2.0,72.7,1.51,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
SOL,LONG,ensemble,TP1,86.28,87.98,85.38,87.38,88.47,348.33,4.5,2.0,72.9,3.78,-0.0,,WIN,,,
SOL,LONG,ensemble,TRAILING_STOP,86.28,86.46,85.38,87.38,88.47,3.97,0.49,2.0,72.9,0.39,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,LONG,ensemble,TP1,87.44,89.94,86.77,88.26,89.49,425.81,3.83,2.0,71.2,7.4,-0.0,,WIN,,,
SOL,LONG,ensemble,TP2,87.44,89.94,86.77,88.26,89.49,47.26,0.43,2.0,71.2,7.4,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,LONG,ensemble,TP1,90.18,93.0,89.08,91.66,93.25,532.16,4.4,2.0,82.0,5.09,-0.0,,WIN,,,
SOL,LONG,ensemble,TRAILING_STOP,90.18,90.84,89.08,91.66,93.25,23.5,0.82,2.0,82.0,1.18,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,LONG,ensemble,TP1,91.2,92.88,90.58,92.03,93.37,502.23,6.97,2.0,87.5,5.36,-0.0,,WIN,,,
SOL,LONG,ensemble,TRAILING_STOP,91.2,91.56,90.58,92.03,93.37,11.74,0.76,2.0,87.5,1.13,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
SOL,SHORT,ensemble,SL,84.18,84.63,84.57,83.71,83.0,-194.48,14.78,1.23,66.2,1.43,0.0,IDLE->OPEN->CLOSED,LOSS,,,
SOL,SHORT,ensemble,SL,82.44,83.09,82.74,82.08,81.54,-229.41,7.93,1.84,69.2,4.06,0.0,IDLE->OPEN->CLOSED,LOSS,,,
SOL,SHORT,ensemble,SL,82.29,82.71,82.64,81.82,81.08,-206.38,10.1,2.0,85.0,2.42,0.0,IDLE->OPEN->CLOSED,LOSS,,,
SOL,SHORT,ensemble,TP1,82.21,81.17,82.62,81.66,80.79,276.89,5.41,2.0,87.5,5.07,-0.0,,WIN,,,
SOL,SHORT,ensemble,TRAILING_STOP,82.21,82.36,82.62,81.66,80.79,-4.42,0.61,2.0,87.5,0.73,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
SOL,SHORT,ensemble,SL,81.5,82.64,81.89,81.01,80.29,-767.67,10.55,2.63,78.2,7.58,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,SL,69401.7,68654.66,68940.3,69961.0,70799.9,-245.8,9.18,1.23,66.2,1.99,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,SL,68318.1,67783.09,67877.3,68852.5,69654.1,-212.24,6.72,2.0,70.1,2.43,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,TP1,68512.2,69600.18,68163.5,68935.0,69569.2,421.16,6.74,2.0,73.9,6.24,-0.0,,WIN,,,
BTC,LONG,ensemble,TP2,68512.2,69600.18,68163.5,68935.0,69569.2,46.81,0.75,2.0,73.9,6.24,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
BTC,LONG,ensemble,SL,73380.7,72442.76,72826.8,74119.1,75303.7,-172.99,3.34,2.0,90.1,3.39,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,TP1,72588.3,73463.25,72226.9,73070.1,73843.1,413.83,8.69,2.0,87.5,4.84,-0.0,,WIN,,,
BTC,LONG,ensemble,TRAILING_STOP,72588.3,72720.62,72226.9,73070.1,73843.1,6.95,0.96,2.0,87.5,0.73,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
BTC,SHORT,ensemble,SL,66862.6,67089.53,67055.2,66605.7,66193.7,-202.59,14.97,2.0,85.0,2.36,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,TP1,67254.4,66815.39,67498.4,66929.0,66407.1,202.74,7.71,2.0,85.0,3.6,-0.0,,WIN,,,
BTC,SHORT,ensemble,TRAILING_STOP,67254.4,67440.7,67498.4,66929.0,66407.1,-21.51,1.95,2.0,85.0,1.53,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,66748.6,67486.73,66984.3,66462.9,66034.4,-710.65,10.98,2.96,79.8,9.26,0.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,65900.0,66752.36,66205.9,65529.3,64973.3,-246.65,5.84,1.65,68.3,4.61,0.0,IDLE->OPEN->CLOSED,LOSS,,,
