symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
HYPE,SHORT,ensemble,TP1,40.3,39.7,40.77,39.73,39.17,136.03,2.24,2.0,72.7,2.58,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,40.3,40.47,40.77,39.73,39.17,-12.59,0.76,2.0,72.7,0.72,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,40.09,39.59,40.49,39.61,39.13,222.56,6.58,1.33,66.6,1.68,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,40.09,39.93,40.49,39.61,39.13,24.15,2.21,1.33,66.6,0.55,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,38.71,39.14,39.01,38.36,37.83,-196.68,3.88,2.32,76.6,3.39,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,38.62,39.1,39.03,38.11,37.61,-226.35,3.98,2.3,76.5,2.68,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,38.52,39.12,38.99,37.94,37.37,-291.64,7.22,1.31,66.6,1.66,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,38.75,39.18,39.17,38.25,37.74,-165.79,3.76,2.0,71.1,2.07,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,38.35,37.82,38.78,37.83,37.31,209.63,3.74,2.0,73.5,2.47,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TP2,38.35,37.28,38.78,37.83,37.31,141.66,1.23,2.0,73.5,5.01,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,37.78,38.61,38.2,37.27,36.76,-520.86,6.06,2.0,70.4,3.96,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,37.82,36.63,38.32,37.21,36.6,425.95,3.28,2.0,72.1,4.72,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,37.82,37.39,38.32,37.21,36.6,17.05,0.37,2.0,72.1,1.7,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,36.95,37.76,37.43,36.38,35.81,-406.95,3.59,2.65,82.9,4.54,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,36.82,37.46,37.36,36.17,35.51,-201.78,2.97,2.0,71.1,2.35,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,37.62,38.71,38.22,36.82,35.96,-451.13,2.9,2.77,85.4,5.03,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,37.99,37.5,38.27,37.65,37.14,141.04,2.66,2.0,74.9,3.55,-0.1,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,37.99,38.16,38.27,37.65,37.14,-8.5,0.48,2.0,74.9,1.22,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,39.18,40.1,38.61,39.86,40.55,288.95,3.13,2.0,70.0,3.25,-0.1,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,39.18,39.34,38.61,39.86,40.55,17.06,1.02,2.0,70.0,0.58,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
