symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
BTC,SHORT,ensemble,SL,77938.0,77838.8,78707.6,76398.8,75570.0,21.95,1.54,5.6,60.0,0.72,13.0,IDLE->OPEN->CLOSED,WIN,,,
BTC,LONG,ensemble,SL,77994.6,76683.94,77032.7,79918.3,81841.9,-225.55,1.18,5.6,74.0,7.63,12.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,74554.1,76035.1,75743.9,72174.4,70893.1,-199.22,2.56,2.0,100,2.49,10.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,76551.7,77527.44,77325.3,75391.4,74884.8,-185.96,3.69,2.0,61.8,2.52,11.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,76593.8,77517.64,77435.4,74910.5,74004.2,-155.37,3.26,2.0,61.8,2.2,5.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,SHORT,ensemble,SL,76713.4,77651.11,77331.1,75648.9,73901.0,-194.62,1.15,7.0,68.6,10.63,8.0,IDLE->OPEN->CLOSED,LOSS,,,
BTC,LONG,ensemble,SL,76974.8,75823.67,75935.3,79053.7,81132.6,-140.55,2.31,2.0,65.0,2.21,2.0,IDLE->OPEN->CLOSED,LOSS,,,
