time,equity,open_positions,cb_active,drawdown_pct
2025-08-12 23:00:00+00:00,10000,0,False,0.0
2025-08-13 00:00:00+00:00,10000,0,False,0.0
2025-08-13 01:00:00+00:00,10000,0,False,0.0
2025-08-13 02:00:00+00:00,10000,0,False,0.0
2025-08-13 03:00:00+00:00,10000,0,False,0.0
2025-08-13 04:00:00+00:00,10000,0,False,0.0
2025-08-13 05:00:00+00:00,10000,1,False,0.0
2025-08-13 06:00:00+00:00,10000,1,False,0.0
2025-08-13 11:00:00+00:00,9707.838230550202,1,False,2.9
2025-08-13 16:00:00+00:00,9477.802723283601,1,False,5.2
2025-08-14 00:00:00+00:00,9736.5085020252,0,False,2.6
2025-08-14 01:00:00+00:00,9736.5085020252,0,False,2.6
2025-08-14 02:00:00+00:00,9736.5085020252,1,False,2.6
2025-08-14 03:00:00+00:00,9736.5085020252,1,False,2.6
2025-08-14 04:00:00+00:00,9736.5085020252,1,False,2.6
2025-08-14 05:00:00+00:00,9736.5085020252,1,False,2.6
2025-08-14 06:00:00+00:00,9736.5085020252,1,False,2.6
2025-08-14 11:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 12:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 13:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 14:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 15:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 16:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 17:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 18:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 19:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 20:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 21:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 22:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-14 23:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-15 00:00:00+00:00,9380.738097000201,0,False,6.2
2025-08-15 01:00:00+00:00,9380.738097000201,1,False,6.2
2025-08-15 02:00:00+00:00,9380.738097000201,1,False,6.2
2025-08-15 11:00:00+00:00,9732.1770001778,1,False,2.7
2025-08-15 12:00:00+00:00,9732.1770001778,1,False,2.7
2025-08-15 17:00:00+00:00,9444.463116467934,0,False,5.6
2025-08-15 18:00:00+00:00,9444.463116467934,0,False,5.6
2025-08-15 19:00:00+00:00,9444.463116467934,0,False,5.6
2025-08-15 20:00:00+00:00,9444.463116467934,0,False,5.6
2025-08-15 21:00:00+00:00,9444.463116467934,0,False,5.6
2025-08-15 22:00:00+00:00,9444.463116467934,0,False,5.6
2025-08-15 23:00:00+00:00,9444.463116467934,1,False,5.6
2025-08-16 00:00:00+00:00,9444.463116467934,1,False,5.6
2025-08-16 01:00:00+00:00,9444.463116467934,1,False,5.6
2025-08-16 02:00:00+00:00,9444.463116467934,1,False,5.6
2025-08-16 03:00:00+00:00,9444.463116467934,1,False,5.6
2025-08-16 04:00:00+00:00,9444.463116467934,1,False,5.6
2025-08-16 09:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 10:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 11:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 12:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 13:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 14:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 15:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 16:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 17:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 18:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 19:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 20:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 21:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 22:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-16 23:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 00:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 01:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 02:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 03:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 04:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 05:00:00+00:00,9240.332407992835,0,False,7.6
2025-08-17 06:00:00+00:00,9240.332407992835,0,False,7.6
