symbol,side,strategy,close_reason,entry,exit,sl,tp1,tp2,pnl,fee,leverage,confidence,rr_achieved,duration_h,state_path,outcome,llm_action,llm_regime,llm_confidence
HYPE,SHORT,ensemble,SL,23.94,24.13,24.04,23.81,23.62,-250.7,7.68,2.0,72.3,3.79,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,23.86,24.07,23.97,23.73,23.53,-267.58,7.63,2.0,71.1,3.86,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,24.41,24.66,24.49,24.31,24.17,-407.2,17.2,1.18,65.9,3.64,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,24.41,24.54,24.49,24.3,24.15,-257.65,10.81,2.16,75.8,3.38,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,24.07,23.62,24.24,23.87,23.56,192.86,2.25,2.27,76.3,6.03,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,24.07,24.12,24.24,23.87,23.56,-2.41,0.26,2.27,76.3,0.68,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,23.89,24.15,24.15,23.57,23.25,-208.03,7.38,1.28,66.4,1.29,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,24.84,25.16,24.68,25.04,25.33,260.89,5.14,2.0,73.6,3.99,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,24.84,24.7,24.68,25.04,25.33,-21.19,0.89,2.0,73.6,1.84,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,26.09,25.8,25.83,26.4,26.72,-178.41,4.03,2.0,71.3,2.21,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,26.33,26.02,26.13,26.56,26.91,-230.73,4.98,2.0,71.1,3.13,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,26.23,25.87,25.95,26.58,26.93,-232.49,8.23,1.02,65.1,1.28,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,24.61,25.06,24.79,24.38,24.04,-205.04,2.35,2.42,77.1,5.81,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,24.81,25.06,24.95,24.63,24.36,-234.14,5.82,2.0,73.2,3.43,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,24.87,25.05,25.02,24.67,24.35,-201.8,4.96,2.88,87.5,3.37,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,25.29,25.06,25.2,25.4,25.56,-236.16,10.67,1.19,66.0,3.12,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,25.47,25.68,25.36,25.6,25.8,171.17,5.08,2.0,71.3,3.97,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,25.47,25.82,25.36,25.6,25.8,49.61,0.9,2.0,71.3,6.52,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,25.82,26.03,25.7,25.97,26.19,113.18,3.61,2.0,73.7,3.4,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,25.82,25.8,25.7,25.97,26.19,-2.14,0.63,2.0,73.7,0.36,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,26.03,25.68,25.91,26.17,26.38,-453.88,8.28,2.0,71.3,6.04,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,24.07,23.67,24.34,23.74,23.41,84.41,1.42,1.81,69.0,2.59,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,24.07,24.26,24.34,23.74,23.41,-13.94,0.48,1.81,69.0,1.28,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,23.65,24.09,23.84,23.39,22.99,-328.51,2.95,3.01,90.1,7.05,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,23.7,23.45,23.85,23.51,23.2,186.58,3.0,2.88,87.5,5.05,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,23.7,23.79,23.85,23.51,23.2,-16.01,0.76,2.88,87.5,1.73,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,23.44,23.12,23.6,23.23,22.9,246.09,3.12,2.88,87.5,5.85,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TP2,23.44,22.85,23.6,23.23,22.9,113.99,0.77,2.88,87.5,10.85,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,TP1,22.53,21.59,22.7,22.32,22.01,437.25,2.52,2.0,74.3,10.93,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TP2,22.53,21.59,22.7,22.32,22.01,48.77,0.28,2.0,74.3,10.93,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,21.26,21.62,21.6,20.79,20.29,-177.42,1.74,3.01,90.1,3.16,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,20.97,21.58,21.29,20.57,20.18,-270.56,2.4,2.0,74.5,3.74,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,21.25,20.87,21.49,20.93,20.58,221.18,2.13,2.88,87.5,4.46,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,21.25,21.16,21.49,20.93,20.58,23.09,0.92,2.88,87.5,1.09,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,20.69,22.03,20.99,20.29,19.86,-629.72,1.79,2.88,87.5,12.95,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,21.56,21.97,21.93,21.06,20.52,-223.73,2.05,2.88,87.5,3.22,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,21.33,21.74,21.48,21.14,20.86,-243.68,2.57,2.47,77.3,6.77,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,21.45,21.21,21.58,21.29,21.05,174.99,3.84,2.0,73.2,3.65,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TP2,21.45,20.89,21.58,21.29,21.05,71.95,0.67,2.0,73.2,8.52,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,21.95,22.35,22.2,21.65,21.35,-238.13,3.37,2.0,73.2,3.18,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,24.11,24.95,23.82,24.47,24.82,307.17,2.38,1.92,69.6,5.5,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,24.11,24.95,23.82,24.47,24.82,34.13,0.26,1.92,69.6,5.5,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,25.88,26.44,25.52,26.33,26.77,145.24,1.74,1.98,69.9,3.02,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,25.88,26.02,25.52,26.33,26.77,11.91,0.57,1.98,69.9,0.74,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,28.5,27.39,28.02,29.08,29.66,-303.38,1.69,2.22,76.1,5.12,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,29.79,30.47,29.29,30.4,31.01,126.67,1.42,2.0,74.3,2.7,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,29.79,31.58,29.29,30.4,31.01,111.96,0.49,2.0,74.3,7.15,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,34.01,32.36,33.35,34.8,35.59,-326.54,1.6,2.0,74.3,5.04,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,34.64,33.17,33.71,35.69,36.74,-221.54,1.24,2.0,74.5,3.16,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,33.33,34.49,32.73,34.14,35.02,243.11,1.27,2.88,87.5,5.46,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,33.33,33.56,32.73,34.14,35.02,20.71,0.53,2.88,87.5,1.08,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,32.85,32.19,32.23,33.61,34.36,-126.61,1.54,2.0,73.2,2.13,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,34.04,32.94,33.39,34.84,35.64,-183.11,1.08,2.54,80.8,4.25,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,32.14,30.67,31.15,33.23,34.33,-263.82,1.02,2.7,78.5,4.05,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,31.36,30.18,30.79,32.05,32.74,-309.29,1.98,2.0,71.6,4.14,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,31.88,33.72,30.93,32.94,34.0,360.35,1.31,2.52,80.3,4.9,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,31.88,32.56,30.93,32.94,34.0,14.89,0.14,2.52,80.3,1.81,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,34.11,35.51,33.44,34.92,35.73,166.43,0.94,2.24,76.2,4.7,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,34.11,36.23,33.44,34.92,35.73,28.52,0.11,2.24,76.2,7.11,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,35.41,33.48,34.25,36.85,38.41,-228.69,0.72,2.74,84.9,4.53,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,34.59,33.04,34.02,35.28,35.97,-255.11,1.08,2.52,77.6,6.87,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,34.74,34.07,34.09,35.52,36.3,-141.93,1.82,2.0,75.0,2.07,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,35.13,33.17,33.79,36.63,38.13,-157.4,0.59,2.26,76.3,3.31,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,30.96,30.28,31.35,30.49,30.02,125.65,1.38,2.0,73.6,3.52,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TP2,30.96,29.75,31.35,30.49,30.02,73.91,0.45,2.0,73.6,6.21,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,29.54,29.87,29.87,29.15,28.76,-134.12,3.07,1.98,69.9,2.0,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,29.82,29.12,30.16,29.4,28.98,224.99,2.36,2.0,71.1,4.0,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,29.82,29.56,30.16,29.4,28.98,9.24,0.27,2.0,71.1,1.47,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,28.85,29.37,29.19,28.44,28.03,-248.97,3.51,2.0,72.6,3.08,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,29.5,29.97,29.84,29.09,28.68,-156.7,3.19,1.58,67.9,2.17,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,30.76,31.75,30.45,31.13,31.5,282.16,3.58,1.26,66.3,4.1,-0.0,,WIN,,,
HYPE,LONG,ensemble,TP2,30.76,31.75,30.45,31.13,31.5,31.27,0.4,1.26,66.3,4.1,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,31.54,32.1,31.16,32.0,32.45,79.94,1.14,2.0,73.8,2.99,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,31.54,31.47,31.16,32.0,32.45,-3.55,0.37,2.0,73.8,0.4,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,31.57,32.21,31.19,32.04,32.51,149.77,2.3,1.64,68.2,2.72,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,31.57,31.69,31.19,32.04,32.51,8.85,0.75,1.64,68.2,0.48,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,TP1,31.81,32.26,31.6,32.06,32.43,207.5,3.74,2.0,72.1,4.37,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,31.81,31.35,31.6,32.06,32.43,-23.57,0.4,2.0,72.1,4.48,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,TP1,31.46,31.77,31.22,31.76,32.2,96.96,3.15,1.58,67.9,1.99,-0.0,,WIN,,,
HYPE,LONG,ensemble,TRAILING_STOP,31.46,31.4,31.22,31.76,32.2,-3.39,0.55,1.58,67.9,0.4,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,LONG,ensemble,SL,31.65,31.23,31.41,31.94,32.38,-192.97,3.71,1.9,69.5,3.38,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,30.42,30.1,30.64,30.16,29.76,144.92,5.1,1.31,66.5,1.95,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,30.42,30.41,30.64,30.16,29.76,1.14,0.91,1.31,66.5,0.09,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,29.63,29.88,29.82,29.39,29.04,-112.39,3.3,2.0,74.6,2.62,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,29.79,30.03,30.02,29.52,29.11,-91.45,2.9,2.0,73.2,2.1,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,30.11,29.72,30.31,29.87,29.5,119.7,1.82,2.52,80.5,4.87,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,30.11,30.02,30.31,29.87,29.5,5.09,0.33,2.52,80.5,1.17,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,SHORT,ensemble,SL,29.15,29.69,29.37,28.89,28.5,-224.53,3.1,2.0,74.5,4.97,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,29.51,29.91,29.81,29.14,28.77,-198.96,3.69,2.0,74.5,2.63,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,29.05,29.45,29.35,28.69,28.33,-150.75,2.21,2.56,81.2,3.35,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,29.07,28.81,29.22,28.89,28.61,91.17,2.55,2.0,73.2,3.37,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,29.07,29.19,29.22,28.89,28.61,-7.14,0.46,2.0,73.2,1.5,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,28.77,28.43,28.99,28.48,28.0,108.58,1.8,2.51,90.1,3.87,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,28.77,28.98,28.99,28.48,28.0,-16.27,0.46,2.51,90.1,2.31,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,28.31,28.64,28.62,27.89,27.44,-175.99,2.51,3.01,90.1,3.19,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,28.44,28.07,28.63,28.19,27.79,132.59,1.72,2.88,87.5,5.78,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TRAILING_STOP,28.44,28.3,28.63,28.19,27.79,12.65,0.43,2.88,87.5,2.2,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
HYPE,LONG,ensemble,SL,30.55,30.15,30.23,30.93,31.31,-174.52,4.49,1.49,67.5,1.86,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,SL,29.32,29.49,29.43,29.18,28.97,-102.98,3.46,2.53,80.6,3.84,0.0,IDLE->OPEN->CLOSED,LOSS,,,
HYPE,SHORT,ensemble,TP1,28.46,27.53,28.6,28.29,28.03,438.51,2.79,2.31,76.6,15.3,-0.0,,WIN,,,
HYPE,SHORT,ensemble,TP2,28.46,27.53,28.6,28.29,28.03,48.72,0.31,2.31,76.6,15.3,0.0,IDLE->OPEN->TP1_HIT->TRAILING->CLOSED,WIN,,,
